statusId | label
3|jump
statusId|sensorName|value|timestamp
3|K3DH Acceleration Sensor|[2.901134,0.027240695,11.9450445]|1395667125959
3|Gravity Sensor|[0.7574492,1.7735834,8.66835]|1395667125959
3|Linear Acceleration Sensor|[2.1436849,-1.7463427,3.2766943]|1395667125959
3|K3DH Acceleration Sensor|[2.8602731,0.095342435,11.836082]|1395667125969
3|Gravity Sensor|[0.8142722,1.7446787,8.645102]|1395667125969
3|Linear Acceleration Sensor|[2.046001,-1.6493363,3.190981]|1395667125970
3|K3DH Acceleration Sensor|[2.5333846,0.3405087,11.577295]|1395667125980
3|Gravity Sensor|[0.87301517,1.714683,8.627501]|1395667125979
3|Linear Acceleration Sensor|[1.6603694,-1.3741744,2.9497948]|1395667125980
3|K3DH Acceleration Sensor|[2.3290794,0.58567494,11.236787]|1395667125990
3|Gravity Sensor|[0.9336983,1.6834861,8.616137]|1395667125990
3|Linear Acceleration Sensor|[1.3953811,-1.0978112,2.6206503]|1395667125990
3|K3DH Acceleration Sensor|[2.3426998,0.7354988,11.059722]|1395667126002
3|Gravity Sensor|[0.99760485,1.650252,8.612822]|1395667126001
3|Linear Acceleration Sensor|[1.3450949,-0.9147532,2.4469004]|1395667126001
3|K3DH Acceleration Sensor|[2.4789033,0.5992953,10.978001]|1395667126010
3|Gravity Sensor|[1.0613133,1.6168554,8.614235]|1395667126009
3|Linear Acceleration Sensor|[1.41759,-1.01756,2.3637657]|1395667126010
3|K3DH Acceleration Sensor|[2.506144,0.05448139,10.923519]|1395667126023
3|Gravity Sensor|[1.1307673,1.5796245,8.6280985]|1395667126023
3|Linear Acceleration Sensor|[1.3753767,-1.5251431,2.2954206]|1395667126023
3|K3DH Acceleration Sensor|[2.5742457,-0.6401563,10.855417]|1395667126032
3|Gravity Sensor|[1.2000431,1.5420556,8.647411]|1395667126032
3|Linear Acceleration Sensor|[1.3742026,-2.1822119,2.208006]|1395667126032
3|K3DH Acceleration Sensor|[2.2882185,-0.8308412,10.800936]|1395667126044
3|Gravity Sensor|[1.2707287,1.5029689,8.675018]|1395667126043
3|Linear Acceleration Sensor|[1.0174898,-2.33381,2.1259174]|1395667126043
3|K3DH Acceleration Sensor|[2.192876,-0.54481393,10.896278]|1395667126053
